day,repo,tokens,turns
2026-08-05,schema,18219133,41
2026-08-05,serialize,33381663,241
2026-08-06,schema,422961018,1956
2026-08-06,serialize,21450127,247
2026-08-06,yojimbo,5252396,7
2026-08-07,schema,84356762,496
2026-08-07,serialize,105034887,633
2026-08-07,serialize.cs,19325143,94
2026-08-07,serialize.go,15645178,94
2026-08-07,serialize.rs,10385465,50
2026-08-07,yojimbo,1144589,14
2026-08-08,netcode,5414811,57
2026-08-08,netcode.cs,15305949,52
2026-08-08,netcode.rs,287291,10
2026-08-08,reliable,2468297,37
2026-08-08,reliable.cs,8221734,30
2026-08-08,schema,49669621,257
2026-08-08,serialize,5618109,37
2026-08-08,serialize.cs,1261003,19
2026-08-08,serialize.go,10734822,62
2026-08-08,serialize.rs,3480915,28
2026-08-08,yojimbo,200824,5
2026-08-10,netcode.cs,1197845,4
2026-08-11,schema,53720552,109
2026-08-11,serialize,3344694,5
2026-08-12,schema,131583237,467
2026-08-12,serialize,22920008,34
2026-08-12,serialize.go,1264424,6
2026-08-12,serialize.rs,807581,1
2026-08-13,netcode,485143,6
2026-08-13,schema,154898149,1341
2026-08-13,serialize,18225100,126
2026-08-13,serialize.c,5839313,53
2026-08-13,serialize.cs,1564259,8
2026-08-13,serialize.go,1849426,8
2026-08-13,serialize.rs,2893174,8
2026-08-13,yojimbo,3615731,8
2026-08-14,schema,200106751,811
2026-08-14,serialize,27949810,205
2026-08-14,serialize.c,72144096,479
2026-08-14,serialize.cs,17215830,200
2026-08-14,serialize.go,17051783,203
2026-08-14,serialize.rs,31772089,304
2026-08-15,schema,201148092,870
2026-08-15,serialize,26376822,135
2026-08-15,serialize.c,11384765,79
2026-08-15,serialize.cs,2225638,11
2026-08-15,serialize.go,6096533,70
2026-08-15,serialize.rs,20021626,107
2026-08-16,schema,166862663,912
2026-08-16,serialize,42117385,249
2026-08-16,serialize.c,41650316,241
2026-08-16,serialize.cs,16900678,118
2026-08-16,serialize.go,6446269,82
2026-08-16,serialize.js,49649372,432
2026-08-16,serialize.rs,15771534,101
2026-08-17,schema,120051090,633
2026-08-17,serialize,5696805,71
2026-08-17,serialize.c,17391395,173
2026-08-17,serialize.cs,14112334,65
2026-08-17,serialize.go,6172552,26
2026-08-17,serialize.js,45069167,361
2026-08-17,serialize.rs,7731687,86
2026-08-18,schema,30156782,162
2026-08-18,serialize.js,2009733,11
2026-08-19,reliable.rs,41884,1
2026-08-19,schema,1214006,9
2026-08-19,serialize,408556,3
2026-08-20,schema,7187250,29
2026-08-20,serialize,405725,4
2026-08-20,serialize.c,597590,3
2026-08-20,serialize.go,890035,4
2026-08-20,serialize.rs,113739,1
2026-08-21,schema,6301291,29
2026-08-21,serialize,1530426,12
2026-08-21,serialize.c,1033476,4
2026-08-21,serialize.go,133265,1
2026-08-21,serialize.rs,173162,2
2026-08-22,schema,18322836,199
2026-08-22,serialize,268464,6
2026-08-22,serialize.c,7547791,17
2026-08-22,serialize.cs,305019,5
2026-08-22,serialize.go,9259520,20
2026-08-22,serialize.rs,6779699,19
2026-08-23,schema,2103253,21
2026-08-23,serialize,739459,4
2026-08-24,schema,3623322,44
2026-08-24,serialize,7350282,34
2026-08-24,serialize.rs,454450,1
2026-08-25,netcode,397074,4
2026-08-25,reliable,849087,7
2026-08-25,schema,222504445,947
2026-08-25,serialize,16554454,100
2026-08-25,serialize.c,1906386,20
2026-08-25,serialize.cs,2212760,11
2026-08-25,serialize.go,3266195,17
2026-08-25,serialize.rs,1950106,12
2026-08-26,netcode,12301534,76
2026-08-26,netcode.cs,45665,1
2026-08-26,reliable.cs,127889,3
2026-08-26,schema,165692853,428
2026-08-26,serialize,37630,1
2026-08-26,serialize.c,54367,1
2026-08-26,serialize.cs,164712,3
2026-08-26,serialize.rs,3497120,12
2026-08-26,yojimbo,1321624,14
2026-08-28,reliable,2014467,6
2026-08-28,yojimbo,532914,1
2026-08-29,schema,679011,18
2026-08-29,serialize,5239373,39
2026-08-29,serialize.c,35683,2
2026-08-29,serialize.cs,510805,4
2026-08-29,serialize.dart,13141779,45
2026-08-29,serialize.java,9067532,32
2026-08-29,serialize.js,1269534,10
2026-08-30,schema,87291743,324
2026-08-30,serialize,1798969,14
2026-08-30,serialize.c,5325786,49
2026-08-30,serialize.cs,120718,2
2026-08-30,serialize.dart,15265270,89
2026-08-30,serialize.elixir,25342851,125
2026-08-30,serialize.go,385303,3
2026-08-30,serialize.java,17770843,93
2026-08-30,serialize.js,3810000,19
2026-08-31,schema,127858903,729
2026-08-31,serialize,1081958,4
2026-08-31,serialize.cs,75405,1
2026-08-31,serialize.elixir,66490,1
2026-08-31,serialize.go,8269007,42
2026-08-31,serialize.java,71167,1
2026-08-31,serialize.rs,772922,6
